title, price, description, category
"Apartamento com 2 dormitórios à venda, 89 m² por R$ 670.000 - Vila Mathilde Vieira - Presi",R$ 325.000,À venda   | 2 quartos | 90 m² | Condomínio: R$ 500,ApartamentosProfissional
Vende-se ou troca,R$ 180.000,À venda,"Terrenos, sítios e fazendas"
Oportunidade de morar localização privilegiada Parque do Povo,R$ 150.000,À venda   | 2 quartos | 99 m²,Apartamentos
Condomínio fechado Porto Seguro de Presidente Prudente Sp,R$ 3.000,À venda   | 430 m² | Condomínio: R$ 600,"Terrenos, sítios e fazendas"
Casa em presidente Epitacio(Campinal),R$ 100.000,À venda   | 300 m²,"Terrenos, sítios e fazendas"
Casa a venda,R$ 175.000,À venda   | 2 quartos | 50 m²,Casas
Casa Nova Parque Shiraiwa,R$ 290.000,À venda   | 2 quartos | 50 m²,Casas
Terreno,R$ 500.000,À venda   | 175 m²,"Terrenos, sítios e fazendasProfissional"
Lindo Apartamento Edf. Parque Príncipe Imperial,R$ 110.000,À venda   | 2 quartos | 48 m²,ApartamentosProfissional
Casa térrea res. São Paulo,R$ 100.000,À venda   | 3 quartos | 110 m²,Casas
Apartamento no Centro,R$ 100.000,À venda   | 3 quartos | 150 m²,ApartamentosProfissional
"Casa para venda em presidente prudente, lider, 2 dormitórios",R$ 100.000,À venda   | 2 quartos | 200 m²,CasasProfissional
"Terreno para venda em presidente prudente, prudentino",R$ 1.000,À venda   | 228 m²,"Terrenos, sítios e fazendasProfissional"
Terreno no bairro Novo Prudentino,R$ 1.100,À venda   | 317 m²,"Terrenos, sítios e fazendas"
Excelente terreno plaino á venda no Parque Residencial Carandá.Área total de 180m².,R$ 470.000,À venda   | 180 m²,"Terrenos, sítios e fazendasProfissional"
Casa perto do centro da cidade,R$ 280.000,Para alugar   | 3 quartos | 300 m²,Casas
Residência na Vila Formosa - Próximo a Pizzaria n°1,R$ 700.000,Para alugar   | 3 quartos,Casas
Edifício Primavera,R$ 75.000,À venda   | 3 quartos | 88 m² | Condomínio: R$ 630,Apartamentos
Terreno Condomínio fechado Gramado,R$ 215.000,À venda   | 1000 m² | Condomínio: R$ 380,"Terrenos, sítios e fazendas"
Vila Lessa,R$ 550,À venda   | 4 quartos | 274 m²,Casas
Terreno Condomínio Fechado Izabel Mizobe,R$ 1.000,À venda   | 240 m² | Condomínio: R$ 200,"Terrenos, sítios e fazendasProfissional"
Porto Madero,R$ 95.000,À venda   | 340 m²,"Terrenos, sítios e fazendas"
Cond. Andorra - Apto para Locação,R$ 45.000,Para alugar   | 2 quartos | 52 m² | Condomínio: R$ 237,Apartamentos
"Sala comercial para locação em presidente prudente, paulistano",R$ 950,Para alugar   | Condomínio: R$ 400,Comércio e indústriaProfissional
Troco por carro,R$ 35.000,À venda   | 0 m² | Condomínio: R$ 0,"Terrenos, sítios e fazendas"
"Apartamento em Guarulhos, 50m, 2 quartos, 1 vaga, próximo ao Shopping Internacional",R$ 250.000,À venda   | 2 quartos | 50 m² | Condomínio: R$ 368,Apartamentos
Apto ed petit maison,R$ 260.000,À venda   | 2 quartos | 54 m² | Condomínio: R$ 390,Apartamentos
Alugo Apartamento,R$ 1.200,Para alugar   | 4 quartos | 130 m² | Condomínio: R$ 600,Apartamentos
Damha 4 Presidente Prudente,R$ 220.000,À venda   | 647 m²,"Terrenos, sítios e fazendas"
Vende-se lanche com terreno,R$ 395.000,À venda   | 185 m²,"Terrenos, sítios e fazendas"
